Dataset,Endpoint,Effect (positive=PIRL),CI95 low,CI95 high,Raw p,Holm p,Confirmatory positive
cranfield,minimum_environment_macro_f1,0.007785079843903309,-0.016053115652588403,0.0311187586715025,0.4107946026986507,1.0,False
cranfield,selective_risk_at_source_50pct,-0.00017392273691648093,-0.007159262658394445,0.006241150727797156,1.0,1.0,False
uci_hydraulic,minimum_environment_macro_f1,0.000859946931462699,0.0,0.0024727500656005486,0.21389305347326337,0.8555722138930535,False
uci_hydraulic,selective_risk_at_source_50pct,0.04406943115420367,0.03899068907878451,0.049301549036198315,0.0009995002498750624,0.005997001499250375,True
paderborn,minimum_environment_macro_f1,0.020921000040980797,-0.045958817104630366,0.08124057196153876,0.6926536731634183,1.0,False
paderborn,selective_risk_at_source_50pct,-0.03177694830823519,-0.07091881137082713,0.007150789026212998,0.09795102448775612,0.4897551224387806,False
