Method,Target coverage,Selective risk,Effective accuracy,Macro F1 (abstention=error),Minimum environment coverage,Zero-coverage groups
ERM,0.7082439345991562,0.614683537169748,0.2954100738396625,0.23613386990387147,0.16455696202531644,0
PIRL (ratio),0.7175677742616033,0.6116613756762614,0.278209388185654,0.227618367925631,0.0,3
